brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,zip_code_encoded,street_encoded
102855.0,0,239000.0,4.0,2.0,0.44,472759.0,East Liverpool,Ohio,43920.0,1947.0,2018-01-26,129000.0,239000.0
105458.0,0,49900.0,3.0,2.0,0.94,1264278.0,East Liverpool,Ohio,43920.0,1512.0,2004-01-26,129000.0,49900.0
102855.0,0,155000.0,3.0,2.0,0.46,416544.0,East Liverpool,Ohio,43920.0,1416.0,1991-08-02,129000.0,155000.0
101698.0,0,219900.0,4.0,1.0,0.46,1323456.0,East Liverpool,Ohio,43920.0,1684.0,2016-08-30,129000.0,219900.0
42526.0,0,19000.0,3.0,2.0,0.13,962151.0,Steubenville,Ohio,43952.0,1918.0,2021-07-20,99900.0,19000.0
42526.0,0,18500.0,3.0,1.0,0.13,276765.0,Steubenville,Ohio,43952.0,1076.0,2021-07-20,99900.0,18500.0
42526.0,0,18500.0,3.0,1.0,0.07,464472.0,Steubenville,Ohio,43952.0,1344.0,2021-07-20,99900.0,18500.0
19178.0,0,74900.0,2.0,1.0,0.07,1163340.0,Toronto,Ohio,43964.0,1371.0,,129950.0,74900.0
19178.0,0,199000.0,3.0,2.0,0.23,989543.0,East Liverpool,Ohio,43920.0,1818.0,2020-03-13,129000.0,199000.0
42526.0,0,29000.0,3.0,1.0,0.06,288170.0,Steubenville,Ohio,43952.0,1512.0,2021-07-20,99900.0,29000.0
56379.0,0,229900.0,3.0,2.0,0.53,449144.0,East Liverpool,Ohio,43920.0,1615.0,2017-03-13,129000.0,229900.0
37253.0,0,140000.0,2.0,2.0,0.11,1798672.0,Toronto,Ohio,43964.0,972.0,2020-10-15,129950.0,140000.0
104440.0,0,199000.0,2.0,1.0,19.08,1679644.0,East Liverpool,Ohio,43920.0,1632.0,,129000.0,199000.0
37253.0,0,213000.0,2.0,2.0,3.0,428877.0,Toronto,Ohio,43964.0,1200.0,2017-06-09,129950.0,213000.0
56379.0,0,80000.0,2.0,1.0,1.0,135681.0,Wellsville,Ohio,43968.0,672.0,,92500.0,80000.0
19178.0,0,189900.0,3.0,2.0,0.98,1295317.0,East Liverpool,Ohio,43920.0,1632.0,,129000.0,189900.0
52584.0,0,229000.0,3.0,2.0,2.0,1226599.0,Wellsville,Ohio,43968.0,1659.0,,92500.0,229000.0
86261.0,0,34900.0,2.0,1.0,0.16,213968.0,East Liverpool,Ohio,43920.0,1440.0,2004-04-12,129000.0,34900.0
87709.0,0,79900.0,2.0,1.0,0.17,857941.0,Steubenville,Ohio,43952.0,588.0,2020-03-18,99900.0,79900.0
19178.0,0,109900.0,3.0,1.0,0.06,293255.0,Toronto,Ohio,43964.0,733.0,,129950.0,109900.0
19178.0,0,375000.0,3.0,1.0,9.16,94208.0,East Liverpool,Ohio,43920.0,1276.0,2003-08-22,129000.0,375000.0
19178.0,0,28000.0,3.0,1.0,0.06,1357853.0,Steubenville,Ohio,43952.0,1398.0,,99900.0,28000.0
37253.0,0,249000.0,3.0,3.0,0.13,1762612.0,Steubenville,Ohio,43952.0,2812.0,,99900.0,249000.0
10635.0,0,255000.0,3.0,2.0,1.25,383487.0,East Liverpool,Ohio,43920.0,3246.0,,129000.0,255000.0
19178.0,0,499000.0,4.0,4.0,0.23,1183985.0,Steubenville,Ohio,43952.0,4236.0,2018-07-23,99900.0,499000.0
70705.0,0,26000.0,3.0,2.0,0.09,1793329.0,East Liverpool,Ohio,43920.0,1608.0,2007-04-23,129000.0,26000.0
42526.0,0,117500.0,3.0,1.0,0.22,1321696.0,Toronto,Ohio,43964.0,1824.0,2018-12-03,129950.0,117500.0
52584.0,0,190000.0,3.0,3.0,0.23,911780.0,East Liverpool,Ohio,43920.0,2640.0,2004-12-01,129000.0,190000.0
19178.0,0,169900.0,3.0,2.0,0.14,274740.0,Toronto,Ohio,43964.0,1400.0,,129950.0,169900.0
104440.0,0,29900.0,2.0,1.0,0.08,1797296.0,East Liverpool,Ohio,43920.0,1632.0,,129000.0,29900.0
86261.0,0,265000.0,3.0,2.0,1.26,314672.0,East Liverpool,Ohio,43920.0,2292.0,2020-02-14,129000.0,265000.0
42526.0,0,65000.0,3.0,1.0,0.1,1379355.0,Steubenville,Ohio,43952.0,1352.0,2015-11-16,99900.0,65000.0
19178.0,0,257000.0,3.0,2.0,0.13,606182.0,Steubenville,Ohio,43952.0,1376.0,,99900.0,257000.0
102855.0,0,134500.0,4.0,4.0,0.12,499117.0,Wellsville,Ohio,43968.0,2140.0,1999-05-20,92500.0,134500.0
52584.0,0,152700.0,3.0,2.0,0.09,219763.0,Toronto,Ohio,43964.0,1296.0,,129950.0,152700.0
19178.0,0,124900.0,3.0,2.0,0.1,1711372.0,Steubenville,Ohio,43952.0,1302.0,,99900.0,124900.0
52584.0,0,70000.0,3.0,1.0,0.95,867839.0,East Liverpool,Ohio,43920.0,1387.0,,129000.0,70000.0
42526.0,0,25000.0,5.0,2.0,0.07,1775461.0,Steubenville,Ohio,43952.0,1620.0,2022-02-15,99900.0,25000.0
86261.0,0,39000.0,3.0,1.0,0.18,184693.0,East Liverpool,Ohio,43920.0,1008.0,2008-07-01,129000.0,39000.0
86261.0,0,29900.0,3.0,1.0,0.09,459129.0,East Liverpool,Ohio,43920.0,1404.0,2004-12-21,129000.0,29900.0
86261.0,0,29900.0,3.0,1.0,0.07,1001580.0,East Liverpool,Ohio,43920.0,1220.0,,129000.0,29900.0
86261.0,0,29900.0,2.0,2.0,0.07,1601076.0,East Liverpool,Ohio,43920.0,1440.0,2006-03-29,129000.0,29900.0
19178.0,0,90000.0,3.0,2.0,0.13,1582396.0,Toronto,Ohio,43964.0,1302.0,,129950.0,90000.0
37253.0,0,37500.0,3.0,1.0,0.37,263276.0,Steubenville,Ohio,43952.0,1016.0,,99900.0,37500.0
42526.0,0,259900.0,3.0,4.0,0.49,1525140.0,Toronto,Ohio,43964.0,2370.0,2016-09-08,129950.0,259900.0
19178.0,0,27000.0,3.0,1.0,0.07,1098501.0,Steubenville,Ohio,43952.0,1120.0,,99900.0,27000.0
45712.0,0,175000.0,3.0,2.0,0.39,1414157.0,East Liverpool,Ohio,43920.0,1188.0,1993-10-20,129000.0,175000.0
101298.0,0,74900.0,2.0,1.0,0.5,586403.0,Wellsville,Ohio,43968.0,988.0,,92500.0,74900.0
45712.0,0,138500.0,3.0,2.0,0.17,99385.0,Steubenville,Ohio,43952.0,1561.0,,99900.0,138500.0
45712.0,0,78000.0,3.0,1.0,0.12,1582053.0,Wellsville,Ohio,43968.0,1454.0,2021-07-01,92500.0,78000.0
19178.0,0,145000.0,3.0,1.0,0.17,313042.0,Steubenville,Ohio,43952.0,1102.0,2019-03-29,99900.0,145000.0
37253.0,0,1.0,3.0,2.0,1.81,700524.0,Toronto,Ohio,43964.0,2169.0,,129950.0,1.0
53783.0,0,155000.0,3.0,2.0,7.11,1398717.0,Wellsville,Ohio,43968.0,1568.0,2016-12-28,92500.0,155000.0
26155.0,0,139900.0,3.0,2.0,0.13,1145176.0,Steubenville,Ohio,43952.0,1350.0,2019-04-16,99900.0,139900.0
70704.0,0,17500.0,3.0,1.0,0.08,1475747.0,Wellsville,Ohio,43968.0,1168.0,,92500.0,17500.0
36231.0,0,182500.0,3.0,2.0,0.31,434140.0,East Liverpool,Ohio,43920.0,2036.0,1991-10-20,129000.0,182500.0
19178.0,0,135000.0,4.0,3.0,0.1,1623248.0,Steubenville,Ohio,43952.0,1235.0,2018-11-05,99900.0,135000.0
42213.0,0,249900.0,4.0,1.0,55.63,431893.0,Wellsville,Ohio,43968.0,1680.0,,92500.0,249900.0
101698.0,0,189900.0,3.0,2.0,0.91,477970.0,East Liverpool,Ohio,43920.0,1436.0,1995-11-01,129000.0,189900.0
79398.0,0,499000.0,4.0,2.0,10.0,1899787.0,East Palestine,Ohio,44413.0,3300.0,,118900.0,499000.0
42213.0,0,254900.0,3.0,2.0,9.48,1283552.0,Rogers,Ohio,44455.0,1456.0,2015-08-14,276950.0,254900.0
57311.0,0,79900.0,4.0,2.0,0.41,1339274.0,Negley,Ohio,44441.0,1764.0,2010-07-12,275000.0,79900.0
19178.0,0,32000.0,4.0,2.0,0.1,620243.0,Brilliant,Ohio,43913.0,2448.0,,87450.0,32000.0
42526.0,0,54000.0,3.0,1.0,0.08,983616.0,Mingo Junction,Ohio,43938.0,2158.0,,74900.0,51500.0
42213.0,0,84900.0,2.0,2.0,0.17,911076.0,East Palestine,Ohio,44413.0,1256.0,,118900.0,84900.0
56379.0,0,234900.0,4.0,4.0,0.19,1153953.0,East Palestine,Ohio,44413.0,2775.0,2001-10-29,118900.0,234900.0
56379.0,0,279900.0,4.0,3.0,1.3,1811197.0,Negley,Ohio,44441.0,2400.0,1996-03-27,275000.0,279900.0
26155.0,0,79000.0,3.0,1.0,0.12,343146.0,Brilliant,Ohio,43913.0,840.0,2018-09-07,87450.0,79000.0
79431.0,0,86000.0,3.0,1.0,0.16,1182704.0,East Palestine,Ohio,44413.0,1264.0,,118900.0,86000.0
19178.0,0,15000.0,3.0,2.0,0.35,19162.0,Mingo Junction,Ohio,43938.0,2080.0,,74900.0,15000.0
42526.0,0,199900.0,3.0,2.0,0.15,192608.0,Mingo Junction,Ohio,43938.0,1008.0,,74900.0,194450.0
8674.0,0,50000.0,3.0,1.0,0.63,1275220.0,New Waterford,Ohio,44445.0,1440.0,2022-03-24,190000.0,50000.0
104440.0,0,72900.0,3.0,2.0,0.09,1500021.0,East Palestine,Ohio,44413.0,1326.0,1997-01-22,118900.0,72900.0
19178.0,0,164900.0,3.0,2.0,0.19,361483.0,Mingo Junction,Ohio,43938.0,1321.0,,74900.0,307450.0
52584.0,0,150000.0,2.0,2.0,0.17,1609883.0,East Palestine,Ohio,44413.0,1936.0,,118900.0,150000.0
105458.0,0,49900.0,2.0,1.0,0.17,1425498.0,East Palestine,Ohio,44413.0,1280.0,1999-06-09,118900.0,49900.0
42526.0,0,329000.0,3.0,3.0,0.58,201598.0,Mingo Junction,Ohio,43938.0,3636.0,,74900.0,329000.0
42213.0,0,119900.0,3.0,1.0,0.16,1057688.0,East Palestine,Ohio,44413.0,1684.0,,118900.0,119900.0
19178.0,0,75000.0,3.0,2.0,0.12,130959.0,Mingo Junction,Ohio,43938.0,1344.0,,74900.0,75000.0
